class,alcohol,malicAcid,ash,alcalinityOfAsh,magnesium,totalPhenols,flavanoids,nonFlavanoidPhenols,proanthocyanins,colorIntensity,hue,od280Od315,proline
2,11.6,2.92,2.78,16.93,104,1.55,0.25,0.56,1.28,10.79,0.46,1.85,878
0,14.08,2.14,2.72,15.57,96,2.93,1.75,0.33,1.56,5.9,0.92,2.48,1785
0,13.13,1.93,2.2,12.21,105,1.97,2.76,0.62,1.59,6.14,1.33,2.93,1119
2,11.46,2.36,2.54,18.89,130,2.16,0.99,0.58,0.83,4.0,1.11,3.06,664
2,11.28,4.55,1.74,19.62,93,1.58,0.05,0.44,2.34,9.54,0.68,1.43,846
2,12.63,2.2,1.75,24.19,90,1.56,0.6,0.55,1.75,6.94,1.15,1.38,778
0,13.41,2.12,2.07,16.12,104,1.95,2.01,0.42,1.95,3.94,1.41,2.4,1397
2,11.82,3.47,2.31,19.75,80,1.8,0.25,0.66,1.62,10.33,0.78,1.51,737
0,13.4,1.82,2.8,16.87,96,1.97,1.08,0.37,1.86,4.69,1.57,2.74,1523
0,13.67,1.14,2.45,16.77,100,2.36,2.16,0.35,1.36,10.0,1.26,2.85,1570
2,12.4,3.65,2.67,16.0,88,1.62,0.7,0.62,1.01,4.4,1.18,1.42,702
0,13.91,1.6,2.24,19.94,65,1.9,2.14,0.35,2.43,5.46,1.47,2.3,1628
0,13.23,1.84,2.26,16.25,97,2.89,3.06,0.34,1.29,3.25,1.01,2.64,1756
2,11.6,5.82,1.98,13.89,88,1.99,1.28,0.65,2.24,5.01,1.16,1.76,669
2,13.43,3.1,2.36,22.71,101,1.55,0.36,0.54,1.04,11.6,0.52,1.04,839
1,11.34,1.73,2.27,14.67,97,3.17,2.44,0.52,1.91,3.75,1.69,2.74,1339
0,11.85,1.91,2.43,18.89,123,1.79,1.78,0.52,1.72,8.88,1.3,2.78,1328
0,13.55,2.02,2.31,17.94,85,1.85,2.29,0.44,1.83,6.93,1.33,2.7,1245
1,13.32,2.3,2.02,17.12,75,3.22,1.74,0.41,1.25,6.17,1.47,2.42,1326
1,12.69,2.16,2.59,19.91,97,2.48,2.27,0.37,3.14,4.99,1.2,2.88,932
1,12.88,1.28,2.34,20.1,107,1.49,2.78,0.32,2.09,5.22,1.31,2.7,714
0,11.72,1.68,2.23,16.05,101,2.41,1.89,0.43,1.26,2.73,1.25,2.22,659
0,13.59,1.86,2.39,18.75,89,3.32,1.93,0.39,1.3,3.54,1.12,2.37,1590
0,13.1,2.38,1.82,18.99,104,1.84,1.35,0.38,2.87,3.93,1.46,2.3,1463
2,13.56,3.91,2.28,17.93,85,2.43,3.6,0.3,1.44,5.03,1.01,2.66,1416
0,11.92,1.34,2.45,21.37,93,1.32,3.23,0.59,1.79,4.37,0.95,1.68,768
1,11.23,2.22,2.15,18.57,108,1.52,1.65,0.6,1.72,10.31,0.98,2.51,716
2,11.49,2.1,2.96,22.01,129,2.27,1.59,0.41,1.59,7.53,1.12,2.82,530
2,11.82,1.95,2.18,19.2,87,2.44,1.19,0.61,1.46,6.56,0.96,1.93,562
2,12.56,4.01,2.07,20.52,102,2.25,0.51,0.55,2.12,7.16,0.73,1.32,800
0,14.63,1.78,2.06,22.87,71,2.28,3.42,0.26,1.62,5.24,1.34,2.57,1506
1,11.94,2.35,2.28,18.09,129,2.32,1.78,0.28,1.97,7.09,1.11,2.5,738
1,11.94,4.11,2.41,14.93,93,1.93,1.13,0.55,1.01,11.68,0.88,3.04,710
2,11.67,3.35,2.08,18.32,90,1.38,0.93,0.53,2.25,4.0,1.24,1.78,679
2,12.68,3.82,2.47,15.75,103,1.63,-0.02,0.5,2.08,5.72,0.59,1.81,731
2,13.1,0.94,2.65,19.02,77,2.09,0.63,0.57,2.11,6.55,0.92,2.76,754
0,13.16,2.3,2.43,21.88,116,3.01,1.32,0.35,0.9,6.7,1.34,2.6,1607
1,10.88,1.7,2.94,19.41,109,1.51,2.29,0.3,1.0,5.52,0.82,2.75,1477
0,14.12,2.03,2.0,20.38,92,2.5,1.62,0.27,2.35,4.29,1.38,2.8,1362
2,12.17,3.12,2.38,21.46,97,1.06,0.41,0.47,2.32,12.28,0.92,1.89,728
1,11.87,2.35,2.27,15.98,90,1.45,0.6,0.5,1.35,8.43,0.79,1.55,810
0,13.38,1.41,2.42,21.91,99,2.28,1.55,0.36,2.35,3.21,1.44,2.25,1474
1,11.09,1.58,2.48,20.04,116,2.84,2.1,0.4,1.4,4.4,0.92,2.84,459
0,13.64,1.88,2.42,21.22,107,2.29,1.3,0.34,2.23,8.27,1.22,2.33,1571
0,12.42,2.1,2.21,17.28,96,2.81,3.17,0.44,2.75,5.66,1.16,2.96,1519
2,13.0,1.76,2.14,21.8,90,2.38,2.38,0.33,2.03,5.79,1.22,2.69,737
0,13.28,1.45,2.31,16.15,105,2.81,1.68,0.32,1.56,5.12,1.07,3.71,821
2,11.31,3.64,2.15,26.38,87,1.42,0.01,0.59,2.74,12.62,0.84,1.54,748
2,12.31,3.59,1.86,19.3,86,1.58,0.4,0.51,1.17,8.54,0.87,1.37,649
2,12.87,1.61,2.41,19.37,101,2.33,1.73,0.43,1.37,5.06,1.1,2.5,748
0,12.51,1.63,2.01,17.0,86,2.37,2.66,0.4,1.2,3.46,1.17,2.68,1461
1,12.71,1.8,1.68,21.59,86,2.08,2.6,0.27,1.97,5.68,1.35,2.31,1533
0,10.71,1.97,2.39,13.01,117,2.64,1.95,0.56,1.27,4.59,1.02,3.35,715
0,12.18,1.65,2.6,16.13,121,1.72,0.52,0.36,1.71,10.87,1.04,2.76,662
0,11.94,1.75,2.05,21.3,110,2.51,0.54,0.35,1.69,4.43,1.22,2.48,611
0,11.59,2.07,2.32,16.13,106,2.47,2.35,0.3,2.4,8.6,1.34,3.05,1233
2,11.01,1.94,2.14,16.71,84,1.45,1.22,0.48,1.45,2.54,0.72,1.7,685
1,11.7,4.18,2.21,22.16,115,1.63,1.13,0.5,1.43,3.2,1.1,3.28,501
0,13.34,1.84,2.52,17.81,104,2.55,0.84,0.34,2.7,6.4,1.29,2.92,1573
2,12.29,3.91,2.39,19.54,92,1.65,0.58,0.64,2.08,8.42,1.14,1.5,627
2,10.69,2.08,2.16,15.31,99,1.66,-0.14,0.57,2.74,9.2,0.85,1.91,893
0,12.34,1.3,2.0,18.99,103,2.36,3.54,0.55,2.56,13.44,0.77,1.46,580
2,10.78,4.78,2.02,26.9,81,1.4,0.26,0.59,1.7,12.95,0.73,1.0,813
2,12.48,3.9,2.26,18.38,89,1.29,1.25,0.43,1.86,7.92,1.33,1.45,794
0,12.11,1.97,2.28,18.57,90,2.42,2.5,0.28,1.19,2.79,1.23,1.71,1037
2,12.51,4.35,2.17,25.81,74,1.93,2.06,0.38,1.92,5.94,1.16,2.87,739
2,11.77,5.41,2.16,18.43,74,1.63,-0.08,0.61,1.88,14.08,0.83,1.5,892
2,11.3,4.12,2.34,17.27,96,1.52,0.35,0.6,1.26,5.44,1.06,1.87,587
2,11.23,3.48,2.31,22.39,92,1.9,-0.13,0.46,2.06,11.25,0.72,1.05,843
0,12.25,3.03,2.44,22.04,114,1.47,2.53,0.6,1.86,9.62,1.32,1.08,597
0,13.61,1.51,2.34,17.04,100,2.85,1.46,0.39,2.04,4.02,1.17,2.36,1370
1,12.02,3.71,2.29,20.35,94,2.14,0.66,0.65,1.92,6.48,0.73,1.54,696
0,13.17,1.96,2.02,15.44,83,2.57,3.28,0.54,1.52,3.87,1.15,3.16,523
0,13.74,4.14,2.08,22.0,123,1.79,0.49,0.52,2.44,7.2,1.27,1.74,423
2,12.68,3.64,2.21,21.72,127,1.44,2.31,0.32,1.93,9.05,0.98,2.8,572
2,12.19,3.22,2.28,26.75,97,1.2,0.26,0.66,1.53,5.16,0.97,3.01,615
2,11.95,4.15,2.74,23.45,92,1.34,0.68,0.68,2.17,13.26,0.91,1.77,938
0,12.78,2.07,2.13,12.72,93,2.89,1.0,0.48,1.65,4.44,0.79,3.17,1026
2,11.63,2.12,2.37,18.85,102,1.32,2.6,0.59,1.54,3.04,1.07,3.59,750
2,12.22,4.14,1.83,17.71,81,1.46,2.74,0.52,1.86,2.47,0.78,2.48,443
0,13.45,1.55,2.15,19.82,95,2.26,1.94,0.4,2.95,5.54,1.04,2.67,1523
0,12.03,2.09,2.54,17.54,115,1.94,2.19,0.35,1.9,8.81,1.33,2.78,1558
0,11.75,1.66,2.42,18.62,98,2.42,1.64,0.51,2.14,7.72,1.41,2.86,1329
0,13.53,2.46,2.34,18.35,120,2.35,2.27,0.36,1.73,8.63,1.19,2.73,1345
2,11.64,5.24,2.05,12.96,91,1.33,0.77,0.62,2.14,10.5,0.94,1.89,868
2,11.11,4.42,1.89,19.57,78,1.32,0.09,0.58,1.61,8.04,0.9,1.17,1031
0,11.59,1.94,2.29,16.79,135,2.69,1.5,0.46,1.32,5.91,1.11,3.29,1165
0,12.9,1.79,1.92,15.65,88,1.94,0.85,0.23,1.37,5.39,1.29,3.22,530
0,12.65,1.53,2.27,15.76,102,2.3,1.92,0.33,1.36,2.93,1.32,3.25,1261
0,12.87,2.15,1.8,21.26,114,2.66,1.08,0.37,3.28,5.54,1.45,2.44,1505
0,13.15,1.18,2.25,16.33,79,1.65,1.73,0.65,1.98,4.85,0.89,2.46,856
0,12.77,1.7,2.09,17.96,90,3.13,2.07,0.57,1.14,4.05,1.48,2.36,1124
0,14.57,2.16,2.38,19.57,114,2.16,1.86,0.34,1.69,8.53,1.43,2.67,1364
1,11.08,2.79,1.91,18.9,95,1.82,2.83,0.69,1.99,5.72,0.7,2.95,814
0,13.75,1.56,2.31,15.81,94,2.32,2.55,0.41,2.66,4.28,1.25,2.86,1445
0,13.1,1.99,2.28,16.68,91,2.9,2.04,0.36,1.92,5.66,1.19,2.85,1172
1,12.71,1.49,2.74,18.86,86,2.99,3.3,0.59,1.97,7.3,1.18,2.87,614
0,13.69,2.29,2.2,22.8,88,2.58,1.47,0.23,1.65,4.45,1.22,2.89,1669
2,13.94,2.89,1.96,15.88,93,2.5,2.9,0.43,2.04,4.18,1.17,2.62,1322
2,12.92,4.69,2.24,12.32,94,1.56,-0.11,0.58,1.53,10.6,0.8,1.56,825
1,12.46,1.71,1.99,17.24,112,1.58,2.51,0.48,1.45,7.92,0.74,2.11,465
2,11.1,3.51,2.24,18.36,84,1.51,0.65,0.59,0.69,10.11,0.8,1.26,765
1,13.06,2.17,1.99,16.34,96,1.87,0.81,0.57,1.11,5.22,0.91,1.19,817
0,11.47,1.56,1.83,16.46,94,2.33,1.29,0.34,1.58,4.7,1.14,2.11,1486
0,13.02,2.39,1.94,21.99,119,2.26,0.5,0.37,1.8,6.65,1.43,2.91,1409
1,10.9,2.06,2.47,22.3,94,1.66,1.17,0.58,1.38,4.69,0.8,1.72,826
2,11.32,3.41,2.3,22.28,86,1.19,0.89,0.48,1.6,4.7,1.15,1.43,631
0,13.22,2.28,2.37,17.17,101,2.57,2.15,0.35,1.52,8.67,1.05,2.61,1254
0,14.31,1.46,2.65,11.51,90,2.32,3.06,0.36,1.46,10.23,1.15,2.7,1198
2,11.08,3.95,1.88,15.4,92,1.2,0.63,0.6,2.55,6.93,0.96,1.51,879
2,11.65,3.95,2.56,20.19,87,2.15,0.26,0.56,0.7,6.46,0.88,1.58,868
1,13.14,2.35,2.69,16.84,90,2.92,3.77,0.56,1.13,12.1,1.0,2.96,1491
2,11.46,4.18,2.17,18.81,88,1.67,0.79,0.59,1.74,4.51,0.83,1.29,667
1,12.26,3.3,2.12,24.85,82,1.7,1.97,0.39,1.61,7.1,1.27,2.45,787
2,11.41,5.35,1.78,16.75,94,1.32,0.03,0.54,2.22,11.98,0.76,1.53,871
0,12.86,1.65,2.4,21.43,107,3.23,1.73,0.34,1.48,3.69,1.31,3.28,1245
0,12.62,1.53,1.79,13.24,76,2.26,2.59,0.5,1.96,5.21,0.98,1.68,762
0,11.53,1.67,2.33,13.38,94,3.24,0.76,0.57,1.14,4.39,1.24,3.07,1615
1,11.33,1.64,2.4,10.31,103,1.67,0.68,0.45,1.44,8.65,0.84,2.49,885
0,11.32,1.32,2.01,18.88,80,2.0,3.33,0.45,0.74,3.26,0.97,3.06,615
2,11.75,4.09,1.8,19.59,110,1.66,0.78,0.62,1.75,8.68,1.19,1.86,656
2,11.47,4.48,2.73,26.48,91,1.07,0.41,0.59,2.14,5.79,0.66,1.66,846
0,14.0,1.76,2.16,19.53,86,2.63,1.7,0.3,3.24,10.52,1.44,2.08,1341
2,12.19,4.41,2.34,10.78,109,1.73,0.13,0.53,2.44,11.96,0.41,1.62,958
1,11.76,1.8,2.34,21.74,86,2.1,1.76,0.36,1.87,3.06,0.88,2.66,888
0,13.33,1.51,2.16,22.13,130,2.8,3.09,0.28,1.43,3.2,1.28,3.13,1206
2,13.27,3.78,2.5,16.65,123,1.71,1.26,0.49,1.79,11.09,0.97,2.57,773
1,12.0,5.02,2.19,24.72,85,1.61,0.9,0.58,1.4,11.16,0.7,1.36,682
0,13.96,2.05,2.72,18.15,106,2.97,2.24,0.37,2.54,5.39,1.22,2.25,1106
1,11.67,1.52,2.99,16.52,118,2.3,2.19,0.38,1.54,6.36,0.9,2.87,735
0,12.01,2.61,2.0,24.34,115,1.61,0.96,0.56,2.13,7.41,0.97,1.86,633
1,11.14,1.56,2.4,15.32,124,1.42,0.21,0.55,2.13,7.2,0.85,2.81,645
0,13.04,1.85,2.65,16.84,80,2.89,2.76,0.47,2.07,4.55,1.11,2.83,827
0,11.47,1.82,2.08,16.29,118,1.4,2.06,0.4,2.24,11.31,0.96,2.51,1149
2,12.29,2.41,2.34,19.3,97,1.86,2.13,0.42,1.66,4.18,1.19,3.19,642
1,10.65,1.87,2.44,14.58,122,2.85,1.78,0.4,0.74,5.25,1.1,2.46,1107
0,11.14,1.24,2.66,11.71,120,1.48,1.72,0.6,0.87,4.77,1.0,2.75,1398
1,13.1,0.87,2.04,17.65,109,2.91,3.18,0.22,1.51,3.41,0.96,2.93,1137
2,12.21,3.05,2.53,16.98,103,1.41,0.15,0.61,1.28,2.68,0.83,1.33,431
0,12.2,2.78,2.18,16.16,91,2.97,1.13,0.42,1.7,5.85,0.96,1.67,528
0,13.46,2.27,2.29,17.86,73,3.23,2.51,0.26,1.58,3.57,1.25,2.44,1302
2,11.88,2.56,2.5,17.6,73,1.56,0.51,0.48,2.05,13.55,1.0,1.78,798
2,11.79,2.64,2.02,27.28,89,1.37,0.6,0.45,2.56,12.66,0.59,1.59,755
2,12.1,5.28,2.08,24.63,79,1.2,-0.02,0.68,1.36,12.14,0.67,1.51,993
2,12.12,4.47,2.57,18.1,89,1.84,-0.08,0.58,1.49,4.7,0.96,1.41,833
1,11.28,1.97,2.77,14.75,94,1.84,2.92,0.75,2.05,4.08,1.0,1.75,756
0,13.46,1.85,2.45,22.5,131,2.38,1.83,0.32,2.77,5.75,1.04,2.92,1177
1,11.52,1.38,2.03,17.67,87,2.82,2.56,0.42,2.19,4.32,2.24,2.77,499
2,10.9,2.98,2.13,22.14,102,1.62,0.4,0.62,1.42,5.94,1.07,1.58,824
2,11.8,3.81,2.42,20.11,88,2.13,1.22,0.52,1.91,12.84,0.83,1.97,784
0,11.43,1.88,2.17,23.57,101,2.08,2.27,0.36,2.5,5.08,1.19,2.59,1155
2,11.83,3.08,2.36,24.18,84,1.41,0.3,0.68,2.41,8.62,0.94,2.17,709
1,13.52,1.56,2.42,18.65,116,2.53,2.17,0.33,1.65,8.49,1.18,2.46,710
0,13.2,1.66,2.18,15.19,111,2.38,1.59,0.38,1.76,6.24,1.2,2.47,1254
2,12.18,3.74,2.02,18.94,96,1.27,-0.15,0.47,2.02,3.37,1.29,1.06,765
0,12.27,1.88,2.19,21.52,84,3.58,1.55,0.38,1.67,3.58,1.21,2.39,1442
2,12.9,1.64,2.4,19.62,92,0.99,-0.39,0.57,2.23,13.1,0.82,1.2,949
2,12.15,5.62,2.48,19.02,121,1.46,0.48,0.72,1.47,9.51,1.33,1.8,778
1,13.13,1.92,2.18,18.6,107,3.01,0.19,0.66,1.5,3.92,1.1,2.19,1234
0,12.97,1.73,2.15,15.64,96,3.19,2.72,0.4,1.74,3.62,1.29,2.99,1101
2,13.63,1.54,2.34,13.66,97,3.52,2.34,0.54,1.6,8.3,1.17,1.38,913
1,12.92,1.47,2.02,13.97,114,2.45,1.73,0.26,1.94,12.65,1.01,2.42,1468
1,12.68,2.97,1.93,25.89,103,2.33,1.95,0.35,0.88,7.29,1.07,2.91,1283
1,13.51,1.57,2.25,17.86,97,2.92,0.51,0.33,1.55,5.37,1.07,2.82,801
1,11.92,1.48,1.98,14.2,91,1.99,1.48,0.55,1.45,5.08,1.16,2.96,561
0,13.11,2.13,2.3,20.17,112,1.84,2.27,0.31,1.65,3.13,1.37,2.35,1243
0,13.61,2.32,1.97,17.44,101,2.41,1.57,0.3,2.62,4.2,1.29,2.81,1333
2,13.35,4.17,2.74,14.25,84,1.25,0.82,0.45,0.96,12.58,1.05,1.44,956
0,12.22,1.88,2.48,15.78,117,2.93,1.61,0.52,2.04,6.54,1.15,3.18,706
1,13.6,1.85,1.88,18.57,90,1.98,2.72,0.34,2.37,9.35,1.2,3.02,1136
0,11.89,1.92,2.44,14.43,89,1.99,1.52,0.67,1.78,5.04,1.29,3.4,867
0,12.85,1.91,2.56,25.64,108,1.87,2.01,0.34,2.08,8.69,1.5,2.12,1315
2,11.53,1.07,2.54,23.78,90,1.22,3.09,0.53,1.72,8.18,0.78,2.74,530
0,11.66,1.58,2.35,16.61,103,1.24,2.58,0.37,1.04,5.64,1.13,2.92,693
1,12.12,3.62,2.91,16.38,111,1.41,0.41,0.55,1.05,3.72,1.07,1.31,705
2,11.11,3.48,2.64,19.52,108,1.74,-0.08,0.63,1.55,11.32,0.65,0.96,792
0,12.78,1.88,2.57,12.53,87,1.44,3.66,0.58,1.54,2.97,1.22,2.76,727
1,11.59,3.24,2.34,10.19,101,1.37,0.32,0.45,1.54,5.42,1.09,3.49,479
0,11.19,1.98,2.33,23.13,97,1.43,3.03,0.59,1.89,5.26,1.2,1.69,683
0,11.66,1.53,2.03,17.58,89,3.22,2.18,0.46,1.28,7.91,1.31,3.1,1132
2,12.64,4.04,2.69,23.25,83,1.71,0.65,0.69,1.4,6.57,0.88,1.74,907
2,12.82,3.89,2.13,24.71,91,1.83,0.74,0.59,2.06,6.52,0.7,1.42,424
0,13.52,1.12,2.66,13.7,120,2.61,1.71,0.34,1.0,7.77,0.88,1.57,1382
0,13.67,1.45,1.77,18.74,105,2.44,2.0,0.42,1.61,1.1,1.46,2.96,1374
1,11.1,1.65,1.9,22.17,108,1.97,2.18,0.34,1.93,4.15,1.32,2.62,506
1,13.33,1.29,2.66,16.94,94,2.76,2.28,0.32,1.05,6.28,1.16,2.27,1106
2,12.87,3.55,2.29,18.1,90,1.47,0.4,0.5,2.57,4.76,0.67,1.63,685
0,13.22,1.71,2.41,18.42,105,1.81,2.27,0.39,1.79,7.23,1.32,3.05,1441
2,11.85,3.48,2.51,25.18,89,1.38,0.07,0.66,1.89,9.61,1.04,1.15,833
0,12.29,1.84,2.56,16.5,122,2.17,1.33,0.62,1.37,3.38,1.22,2.9,1307
2,12.37,3.32,2.53,25.99,98,1.72,0.69,0.6,1.61,5.83,0.67,1.38,706
1,12.01,2.24,2.65,15.65,98,1.22,1.62,0.57,2.52,5.68,0.88,1.39,785
2,11.78,3.88,2.52,19.16,105,1.78,1.54,0.6,1.45,7.03,0.57,1.71,728
2,12.6,2.48,2.1,17.79,78,0.96,0.87,0.53,1.31,7.62,0.88,1.47,728
2,12.88,3.49,2.08,21.2,98,1.46,0.03,0.54,2.21,8.12,1.14,1.86,666
1,12.0,3.93,2.24,16.28,91,1.76,0.29,0.64,1.72,5.46,1.16,1.29,774
1,12.69,4.53,2.7,23.63,113,1.4,0.19,0.49,1.55,6.95,1.08,1.16,827
2,11.14,3.22,2.83,20.67,89,1.74,2.19,0.63,1.25,5.49,1.18,3.3,718
0,13.98,1.23,2.33,15.92,79,1.84,2.23,0.37,1.39,5.13,1.33,2.66,1335
1,13.0,1.84,2.09,12.66,107,2.23,1.26,0.35,2.15,10.16,1.18,3.28,1782
2,12.59,1.37,2.54,21.35,96,1.21,0.43,0.55,1.32,1.55,0.72,1.93,681
0,13.24,2.06,2.41,18.1,90,2.68,1.31,0.37,1.83,6.57,1.32,2.79,1642
1,11.79,1.92,2.29,16.22,102,1.54,1.2,0.51,2.3,5.6,1.11,1.2,660
1,13.36,1.83,2.5,17.69,103,2.58,2.65,0.37,1.75,5.74,0.9,2.8,693
1,11.79,3.56,2.81,20.48,83,1.99,0.87,0.57,1.45,3.06,0.83,2.85,651
0,12.17,1.42,2.27,16.53,88,2.61,2.08,0.39,1.7,5.9,1.43,2.87,1311
2,13.66,2.15,2.17,21.49,103,1.37,1.55,0.29,1.37,8.66,1.28,2.87,566
1,11.97,2.09,2.28,18.71,110,2.41,2.07,0.53,0.86,8.01,1.01,2.66,887
2,11.89,1.62,2.21,22.77,87,1.62,1.62,0.61,2.19,8.99,0.82,2.66,632
2,11.69,4.41,2.45,23.84,87,1.54,0.3,0.62,1.99,9.38,0.76,1.47,601
2,11.61,3.63,2.03,21.37,100,1.5,0.93,0.45,2.23,5.17,0.73,1.97,623
0,13.67,1.87,2.19,18.1,78,3.08,1.76,0.36,1.84,5.88,0.99,2.74,1457
2,11.69,4.02,2.29,11.98,98,1.75,-0.06,0.44,2.06,6.57,0.7,1.13,845
0,12.8,2.28,2.38,15.33,90,2.78,1.39,0.66,1.96,3.59,0.87,2.96,833
2,12.26,2.89,2.44,14.9,90,1.6,-0.19,0.49,2.52,3.59,1.0,2.66,687
2,11.21,2.18,2.7,20.45,99,2.13,1.92,0.39,1.32,10.85,1.16,2.84,786
0,11.36,1.4,2.55,20.21,83,2.22,1.63,0.33,1.76,9.56,1.21,2.45,1710
0,12.94,2.0,2.41,16.83,111,2.87,2.31,0.18,1.98,5.76,1.07,3.16,730
0,11.79,1.85,2.22,15.11,98,1.5,3.04,0.46,2.16,4.1,1.02,3.16,652
0,13.23,1.54,2.32,16.3,90,2.85,1.71,0.4,2.36,6.51,1.27,2.67,1476
1,12.28,1.72,2.13,19.2,111,1.68,0.59,0.4,1.7,3.89,1.2,2.89,443
2,12.86,1.24,2.27,15.45,92,1.77,1.46,0.65,1.94,4.17,1.24,1.34,663
2,12.08,4.55,2.5,24.6,99,1.68,-0.13,0.64,2.18,5.83,1.29,1.24,757
2,11.63,2.08,2.19,16.61,93,1.97,0.57,0.68,2.18,4.57,1.44,1.56,841
1,12.52,1.88,2.5,16.08,87,1.74,0.37,0.7,1.94,10.24,0.95,1.75,675
2,11.85,3.71,2.06,16.58,87,1.24,1.2,0.59,2.09,10.95,1.27,2.76,534
2,13.57,1.48,2.55,19.17,115,2.4,0.42,0.4,1.78,10.16,1.24,3.2,574
1,11.62,3.95,2.41,20.94,88,1.48,1.14,0.51,1.54,5.7,0.63,1.34,595
0,13.28,2.05,2.12,20.37,90,2.63,1.31,0.36,1.78,7.4,1.11,2.46,1535
2,12.42,3.75,2.55,21.89,80,1.69,0.28,0.48,1.72,6.12,0.75,1.28,786
0,13.34,1.45,2.36,19.65,91,2.46,2.4,0.27,1.49,7.18,1.13,2.7,1022
0,11.07,2.22,1.96,20.63,95,2.79,1.41,0.35,1.86,5.76,1.33,3.03,577
0,14.36,1.95,1.99,16.51,84,2.25,1.92,0.32,3.34,7.47,1.29,2.67,1731
1,11.83,4.69,2.24,13.57,106,1.38,0.94,0.58,1.96,10.85,1.14,1.5,855
0,12.52,2.38,2.28,26.44,88,2.85,2.4,0.35,1.35,5.69,1.52,2.12,1551
0,13.51,1.45,2.4,21.09,81,2.27,1.72,0.32,2.1,11.5,1.48,2.44,788
0,13.36,0.95,2.78,14.92,101,2.2,1.93,0.56,1.78,13.83,1.17,2.82,1583
0,11.33,1.26,2.2,21.92,113,2.72,2.38,0.55,1.04,3.96,1.07,1.7,1531
2,12.41,4.42,2.13,12.82,94,1.56,0.12,0.52,2.43,4.12,0.64,1.56,734
1,13.86,2.14,2.54,17.58,88,2.3,2.45,0.37,2.16,4.04,1.21,3.44,521
1,13.12,5.2,2.67,18.1,106,2.56,2.58,0.62,1.18,4.51,1.1,3.22,973
1,11.58,1.59,2.88,18.68,91,3.65,1.94,0.67,1.41,9.82,1.27,2.55,826
2,12.53,2.24,2.63,18.73,95,2.74,2.46,0.64,1.95,9.37,1.26,2.94,749
1,13.1,2.02,2.4,15.61,93,2.48,2.04,0.39,2.07,3.8,1.29,2.89,1256
1,11.68,2.84,2.35,14.78,74,1.72,3.48,0.49,1.24,5.69,0.73,1.76,751
0,12.7,1.55,1.98,13.68,111,2.2,1.27,0.29,1.71,4.12,1.23,2.3,797
0,13.26,2.0,2.16,11.32,86,2.69,2.05,0.42,1.07,11.43,0.98,3.21,1556
1,12.21,3.85,2.4,20.94,119,1.18,-0.03,0.56,2.46,7.41,0.72,1.82,625
0,13.59,2.25,2.07,21.5,78,1.7,2.71,0.37,1.9,7.28,1.46,2.1,1363
0,10.64,1.65,2.43,14.19,86,1.68,1.74,0.7,1.71,3.74,0.9,2.77,1397
0,13.85,2.14,2.31,11.48,108,2.47,1.68,0.3,2.01,3.95,1.15,2.51,1721
0,12.87,2.22,2.26,17.47,89,2.67,2.35,0.44,1.9,4.32,1.37,2.83,1087
2,12.7,2.91,2.05,20.2,92,1.52,-0.21,0.44,2.52,12.79,0.78,1.56,996
0,12.96,1.55,2.24,14.28,81,2.82,1.6,0.54,0.99,7.32,1.22,2.81,1250
2,11.66,4.13,2.06,23.85,86,1.83,0.7,0.68,2.22,3.94,0.82,1.58,846
2,12.94,5.86,2.44,17.65,79,1.74,1.29,0.49,1.94,6.09,0.75,1.8,746
0,13.37,1.99,2.5,18.3,92,2.84,1.9,0.6,1.18,6.02,1.25,2.51,1263
2,11.33,2.68,2.42,19.31,82,2.06,2.18,0.34,2.08,4.93,1.39,3.49,1400
0,12.9,1.79,2.26,17.17,99,2.88,1.67,0.37,1.99,5.82,1.41,2.5,1744
0,12.96,2.2,2.46,11.12,121,2.98,1.84,0.36,1.3,6.88,1.08,2.33,1501
0,12.49,2.02,2.12,14.27,75,2.18,3.51,0.33,1.29,3.91,1.16,3.22,905
2,12.95,1.22,2.33,16.51,83,1.72,0.27,0.62,2.12,5.03,1.18,1.45,897
0,13.49,2.22,2.02,18.35,114,1.98,2.19,0.36,2.38,7.07,1.31,3.34,1113
2,11.38,3.37,2.25,21.42,102,1.75,0.38,0.55,1.85,12.14,0.73,1.17,806
2,12.75,3.84,1.94,25.98,95,1.45,0.47,0.57,1.87,6.43,0.95,1.55,554
0,10.89,1.25,2.65,23.07,92,1.99,1.62,0.37,1.79,6.98,1.34,2.5,1072
1,12.45,4.61,2.51,22.1,123,2.67,1.91,0.33,1.62,5.86,1.25,2.6,737
0,13.6,1.75,2.26,16.55,119,2.14,2.92,0.33,1.82,2.96,1.35,2.74,1049
0,13.38,1.31,2.03,17.01,86,3.22,3.03,0.32,1.89,4.78,1.27,2.23,1241
1,12.47,1.74,2.39,19.13,108,2.53,2.11,0.32,2.07,7.67,1.28,1.9,1430
2,11.54,2.8,2.07,11.49,92,1.07,0.74,0.63,2.4,3.26,0.77,2.39,815
0,13.19,1.43,1.98,18.65,116,2.92,2.37,0.41,2.26,7.78,1.28,2.72,1407
2,10.74,1.99,2.42,14.23,72,1.22,-0.15,0.57,2.21,6.42,0.73,1.86,794
2,12.14,3.39,2.04,27.07,88,1.36,0.7,0.58,2.21,10.4,0.78,1.27,892
2,11.17,3.28,2.39,15.59,86,1.62,1.12,0.68,1.77,7.7,0.96,1.61,743
